texture_atlas.png
512x512
explosion9|0,0:128,0:128,128:0,128
explosion8|128,0:256,0:256,128:128,128
explosion7|256,0:384,0:384,128:256,128
explosion6|384,0:512,0:512,128:384,128
explosion5|0,128:128,128:128,256:0,256
explosion4|128,128:256,128:256,256:128,256
explosion3|256,128:384,128:384,256:256,256
explosion2|384,128:512,128:512,256:384,256
explosion1|0,256:128,256:128,384:0,384
explosion11|128,256:256,256:256,384:128,384
explosion10|256,256:384,256:384,384:256,384
target4|384,256:448,256:448,320:384,320
target5|448,256:512,256:512,320:448,320
target3|384,320:448,320:448,384:384,384
target7|448,320:512,320:512,384:448,384
target8|0,384:64,384:64,448:0,448
target1|64,384:128,384:128,448:64,448
target2|128,384:192,384:192,448:128,448
target6|192,384:256,384:256,448:192,448
bullet0008|256,384:272,384:272,400:256,400
bullet0007|272,384:288,384:288,400:272,400
bullet0006|288,384:304,384:304,400:288,400
bullet0005|304,384:320,384:320,400:304,400
bullet0004|320,384:336,384:336,400:320,400
bullet0003|336,384:352,384:352,400:336,400
bullet0002|352,384:368,384:368,400:352,400
bullet0001|368,384:384,384:384,400:368,400
